x [m], y [m], z [m], zrotation [deg], SAR [w/kg]
10,2.6,1,14.57422,0.00784
10,2.6,2,14.57422,0.00115
10,4,-2,21.80141,0.00094
10,4,-1,21.80141,0.00659
10,4,0,21.80141,0.01358
10,4,1,21.80141,0.00685
10,4,2,21.80141,0.00104
10,6,-2,30.96376,0.0008
10,6,-1,30.96376,0.00515
10,6,0,30.96376,0.00996
10,6,1,30.96376,0.00535
10,6,2,30.96376,0.00088
13,0,-2,0,0.00124
13,0,-1,0,0.00689
13,0,0,0,0.01225
13,0,1,0,0.0071
13,0,2,0,0.00135
13,0.3,-2,1.32198,0.00124
13,0.3,-1,1.32198,0.00688
13,0.3,0,1.32198,0.01223
13,0.3,1,1.32198,0.00709
13,0.3,2,1.32198,0.00135
13,0.8,-2,3.52145,0.00124
13,0.8,-1,3.52145,0.00684
13,0.8,0,3.52145,0.01213
13,0.8,1,3.52145,0.00707
13,0.8,2,3.52145,0.00135
13,1.6,-2,7.0165,0.00123
13,1.6,-1,7.0165,0.00672
13,1.6,0,7.0165,0.0119
13,1.6,1,7.0165,0.00694
13,1.6,2,7.0165,0.00133
13,2.6,-2,11.30993,0.0012
13,2.6,-1,11.30993,0.00645
13,2.6,0,11.30993,0.01129
13,2.6,1,11.30993,0.00666
13,2.6,2,11.30993,0.0013
13,4,-2,17.10273,0.00115
13,4,-1,17.10273,0.00591
13,4,0,17.10273,0.01013
13,4,1,17.10273,0.00608
13,4,2,17.10273,0.00125
13,6,-2,24.77514,0.00107
13,6,-1,24.77514,0.00497
13,6,0,24.77514,0.00817
13,6,1,24.77514,0.0051
13,6,2,24.77514,0.00116
