x,y,z,zrotation,SARwb
1.9,0.6,0.3,22.86,0.08845
1.9,0.6,0.75,22.86,0.05965
1.9,0.6,1.35,22.86,0.02376
1.9,0.6,2,22.86,0.0065
1.9,0.9,-2,32.31,0.00454
1.9,0.9,-1.35,32.31,0.01486
1.9,0.9,-0.75,32.31,0.03649
1.9,0.9,-0.3,32.31,0.04975
1.9,0.9,0,32.31,0.05144
1.9,0.9,0.3,32.31,0.04701
1.9,0.9,0.75,32.31,0.0321
1.9,0.9,1.35,32.31,0.01368
1.9,0.9,2,32.31,0.00486
1.9,1.4,-2,44.53,0.00289
1.9,1.4,-1.35,44.53,0.00478
1.9,1.4,-0.75,44.53,0.009
1.9,1.4,-0.3,44.53,0.01147
1.9,1.4,0,44.53,0.01178
1.9,1.4,0.3,44.53,0.01095
1.9,1.4,0.75,44.53,0.00811
1.9,1.4,1.35,44.53,0.00462
1.9,1.4,2,44.53,0.00332
1.9,2,-2,54.57,0.00228
1.9,2,-1.35,54.57,0.00201
1.9,2,-0.75,54.57,0.00206
1.9,2,-0.3,54.57,0.00215
1.9,2,0,54.57,0.00217
1.9,2,0.3,54.57,0.00217
1.9,2,0.75,54.57,0.00214
1.9,2,1.35,54.57,0.00229
1.9,2,2,54.57,0.00277
2.8,0,-2,0,0.01621
2.8,0,-1.35,0,0.03986
2.8,0,-0.75,0,0.06723
2.8,0,-0.3,0,0.08026
2.8,0,0,0,0.0819
2.8,0,0.3,0,0.07782
2.8,0,0.75,0,0.06275
2.8,0,1.35,0,0.03716
2.8,0,2,0,0.01555
2.8,0.1,-2,2.46,0.01612
2.8,0.1,-1.35,2.46,0.03963
2.8,0.1,-0.75,2.46,0.0668
2.8,0.1,-0.3,2.46,0.07971
2.8,0.1,0,2.46,0.08132
2.8,0.1,0.3,2.46,0.07726
2.8,0.1,0.75,2.46,0.06235
2.8,0.1,1.35,2.46,0.03693
2.8,0.1,2,2.46,0.01546
2.8,0.2,-2,4.92,0.01585
2.8,0.2,-1.35,4.92,0.03891
2.8,0.2,-0.75,4.92,0.06551
2.8,0.2,-0.3,4.92,0.07808
2.8,0.2,0,4.92,0.07959
2.8,0.2,0.3,4.92,0.07562
