x,y,z,zrotation,SARwb
  -0.20000,   0.90000,  -1.35000, 102.53000,   0.00528
  -0.20000,   0.90000,  -0.81000, 102.53000,   0.00536
  -0.20000,   0.90000,  -0.30000, 102.53000,   0.00495
  -0.20000,   0.90000,   0.00000, 102.53000,   0.00529
  -0.20000,   0.90000,   0.30000, 102.53000,   0.00600
  -0.20000,   0.90000,   0.81000, 102.53000,   0.00773
  -0.20000,   0.90000,   1.35000, 102.53000,   0.00745
  -0.20000,   0.90000,   2.00000, 102.53000,   0.00489
  -0.20000,   1.40000,  -2.00000,  98.13000,   0.00196
  -0.20000,   1.40000,  -1.35000,  98.13000,   0.00209
  -0.20000,   1.40000,  -0.81000,  98.13000,   0.00163
  -0.20000,   1.40000,  -0.30000,  98.13000,   0.00131
  -0.20000,   1.40000,   0.00000,  98.13000,   0.00137
  -0.20000,   1.40000,   0.30000,  98.13000,   0.00174
  -0.20000,   1.40000,   0.81000,  98.13000,   0.00272
  -0.20000,   1.40000,   1.35000,  98.13000,   0.00337
  -0.20000,   1.40000,   2.00000,  98.13000,   0.00294
  -0.20000,   2.00000,  -2.00000,  95.71000,   0.00087
  -0.20000,   2.00000,  -1.35000,  95.71000,   0.00069
  -0.20000,   2.00000,  -0.81000,  95.71000,   0.00043
  -0.20000,   2.00000,  -0.30000,  95.71000,   0.00029
  -0.20000,   2.00000,   0.00000,  95.71000,   0.00033
  -0.20000,   2.00000,   0.30000,  95.71000,   0.00048
  -0.20000,   2.00000,   0.81000,  95.71000,   0.00089
  -0.20000,   2.00000,   1.35000,  95.71000,   0.00133
  -0.20000,   2.00000,   2.00000,  95.71000,   0.00152
   0.00000,   0.10000,  -2.00000,  90.00000,   0.00526
   0.00000,   0.10000,  -1.35000,  90.00000,   0.01750
   0.00000,   0.10000,  -0.81000,  90.00000,   0.07657
   0.00000,   0.10000,  -0.30000,  90.00000,   0.34121
   0.00000,   0.10000,   0.00000,  90.00000,   0.37251
   0.00000,   0.10000,   0.30000,  90.00000,   0.22552
   0.00000,   0.10000,   0.81000,  90.00000,   0.37608
   0.00000,   0.10000,   1.35000,  90.00000,   0.02801
   0.00000,   0.10000,   2.00000,  90.00000,   0.00839
   0.00000,   0.20000,  -2.00000,  90.00000,   0.00518
   0.00000,   0.20000,  -1.35000,  90.00000,   0.01628
   0.00000,   0.20000,  -0.81000,  90.00000,   0.04803
   0.00000,   0.20000,  -0.30000,  90.00000,   0.11294
   0.00000,   0.20000,   0.00000,  90.00000,   0.11597
   0.00000,   0.20000,   0.30000,  90.00000,   0.09390
   0.00000,   0.20000,   0.81000,  90.00000,   0.08567
   0.00000,   0.20000,   1.35000,  90.00000,   0.02385
   0.00000,   0.20000,   2.00000,  90.00000,   0.00800
   0.00000,   0.36000,  -2.00000,  90.00000,   0.00497
   0.00000,   0.36000,  -1.35000,  90.00000,   0.01373
   0.00000,   0.36000,  -0.81000,  90.00000,   0.02640
   0.00000,   0.36000,  -0.30000,  90.00000,   0.03860
   0.00000,   0.36000,   0.00000,  90.00000,   0.04261
   0.00000,   0.36000,   0.30000,  90.00000,   0.04632
   0.00000,   0.36000,   0.81000,  90.00000,   0.03145
   0.00000,   0.36000,   1.35000,  90.00000,   0.01896
   0.00000,   0.36000,   2.00000,  90.00000,   0.00719
   0.00000,   0.60000,  -2.00000,  90.00000,   0.00441
   0.00000,   0.60000,  -1.35000,  90.00000,   0.00945
   0.00000,   0.60000,  -0.81000,  90.00000,   0.01265
   0.00000,   0.60000,  -0.30000,  90.00000,   0.01351
   0.00000,   0.60000,   0.00000,  90.00000,   0.01514
   0.00000,   0.60000,   0.30000,  90.00000,   0.01688
   0.00000,   0.60000,   0.81000,  90.00000,   0.01641
   0.00000,   0.60000,   1.35000,  90.00000,   0.01247
   0.00000,   0.60000,   2.00000,  90.00000,   0.00618
   0.00000,   0.90000,  -2.00000,  90.00000,   0.00351
   0.00000,   0.90000,  -1.35000,  90.00000,   0.00526
   0.00000,   0.90000,  -0.81000,  90.00000,   0.00507
   0.00000,   0.90000,  -0.30000,  90.00000,   0.00423
   0.00000,   0.90000,   0.00000,  90.00000,   0.00470
   0.00000,   0.90000,   0.30000,  90.00000,   0.00561
   0.00000,   0.90000,   0.81000,  90.00000,   0.00764
   0.00000,   0.90000,   1.35000,  90.00000,   0.00735
   0.00000,   0.90000,   2.00000,  90.00000,   0.00481
   0.00000,   1.40000,  -2.00000,  90.00000,   0.00197
