f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
400,60.0,0.18,0.0012751,2.0995e-05
400,60.0,0.315,0.001219,2.007e-05
400,60.0,0.45,0.0011871,1.9546e-05
400,60.0,0.585,0.0011578,1.9063e-05
400,60.0,0.72,0.0011279,1.857e-05
400,78.0,0.18,0.0010635,1.751e-05
400,78.0,0.315,0.0010783,1.7755e-05
400,78.0,0.45,0.0010736,1.7676e-05
400,78.0,0.585,0.0010616,1.7479e-05
400,78.0,0.72,0.0010461,1.7225e-05
400,96.0,0.18,0.00092513,1.5232e-05
400,96.0,0.315,0.00095554,1.5733e-05
400,96.0,0.45,0.0009663,1.591e-05
400,96.0,0.585,0.0009692,1.5958e-05
400,96.0,0.72,0.00096696,1.5921e-05
500,19.2,0.22,0.0014825,2.441e-05
500,19.2,0.385,0.001415,2.3298e-05
500,19.2,0.55,0.0013224,2.1773e-05
500,19.2,0.715,0.0012358,2.0347e-05
500,19.2,0.88,0.00116,1.9099e-05
500,33.6,0.22,0.0013065,2.1511e-05
500,33.6,0.385,0.0012904,2.1247e-05
500,33.6,0.55,0.0012431,2.0467e-05
500,33.6,0.715,0.0011893,1.9582e-05
500,33.6,0.88,0.0011363,1.8708e-05
500,48.0,0.22,0.0011417,1.8799e-05
500,48.0,0.385,0.0011465,1.8877e-05
500,48.0,0.55,0.0011285,1.8581e-05
500,48.0,0.715,0.0011024,1.815e-05
500,48.0,0.88,0.0010724,1.7657e-05
500,62.4,0.22,0.001006,1.6563e-05
500,62.4,0.385,0.0010243,1.6865e-05
500,62.4,0.55,0.0010273,1.6914e-05
500,62.4,0.715,0.00102,1.6794e-05
500,62.4,0.88,0.001006,1.6564e-05
500,76.8,0.22,0.00094988,1.564e-05
500,76.8,0.385,0.00096651,1.5913e-05
500,76.8,0.55,0.00097043,1.5978e-05
500,76.8,0.715,0.00096598,1.5905e-05
500,76.8,0.88,0.00095632,1.5746e-05
600,18.4,0.24,0.001461,2.4055e-05
600,18.4,0.42,0.0014118,2.3245e-05
600,18.4,0.6,0.0013306,2.1908e-05
600,18.4,0.78,0.0012522,2.0617e-05
600,18.4,0.96,0.0011828,1.9474e-05
600,32.2,0.24,0.0012789,2.1058e-05
600,32.2,0.42,0.0012681,2.088e-05
600,32.2,0.6,0.0012341,2.0319e-05
600,32.2,0.78,0.0011925,1.9634e-05
600,32.2,0.96,0.0011491,1.892e-05
600,46.0,0.24,0.0011153,1.8363e-05
600,46.0,0.42,0.0011328,1.8652e-05
600,46.0,0.6,0.0011272,1.856e-05
600,46.0,0.78,0.0011099,1.8274e-05
600,46.0,0.96,0.0010865,1.7889e-05
600,59.8,0.24,0.0010713,1.7639e-05
600,59.8,0.42,0.0010663,1.7556e-05
600,59.8,0.6,0.0010572,1.7407e-05
600,59.8,0.78,0.0010443,1.7194e-05
600,59.8,0.96,0.0010282,1.693e-05
600,73.6,0.24,0.0010001,1.6466e-05
600,73.6,0.42,0.0010035,1.6523e-05
600,73.6,0.6,0.00099745,1.6423e-05
600,73.6,0.78,0.0009875,1.6259e-05
600,73.6,0.96,0.00097557,1.6063e-05
700,15.2,0.24,0.0015005,2.4706e-05
700,15.2,0.42,0.0014465,2.3817e-05
700,15.2,0.6,0.0013615,2.2417e-05
700,15.2,0.78,0.0012799,2.1073e-05
700,15.2,0.96,0.0012074,1.9879e-05
700,26.6,0.24,0.0013061,2.1505e-05
700,26.6,0.42,0.0012947,2.1317e-05
700,26.6,0.6,0.0012597,2.0742e-05
700,26.6,0.78,0.0012163,2.0027e-05
700,26.6,0.96,0.0011708,1.9277e-05
700,38.0,0.24,0.0011215,1.8465e-05
700,38.0,0.42,0.0011496,1.8927e-05
700,38.0,0.6,0.0011462,1.8872e-05
700,38.0,0.78,0.0011291,1.8591e-05
700,38.0,0.96,0.0011051,1.8196e-05
700,49.4,0.24,0.0010695,1.7609e-05
700,49.4,0.42,0.0010727,1.7663e-05
700,49.4,0.6,0.0010693,1.7606e-05
700,49.4,0.78,0.0010592,1.7439e-05
700,49.4,0.96,0.0010444,1.7195e-05
700,60.8,0.24,0.0010279,1.6925e-05
700,60.8,0.42,0.0010208,1.6807e-05
700,60.8,0.6,0.0010137,1.6691e-05
700,60.8,0.78,0.0010046,1.6541e-05
700,60.8,0.96,0.00099337,1.6356e-05
800,14.0,0.24,0.0015034,2.4754e-05
800,14.0,0.42,0.0014596,2.4031e-05
800,14.0,0.6,0.0013834,2.2777e-05
800,14.0,0.78,0.0013078,2.1533e-05
800,14.0,0.96,0.0012393,2.0405e-05
800,24.5,0.24,0.0012864,2.118e-05
800,24.5,0.42,0.0012936,2.1299e-05
800,24.5,0.6,0.001271,2.0927e-05
800,24.5,0.78,0.0012361,2.0353e-05
800,24.5,0.96,0.0011964,1.9699e-05
800,35.0,0.24,0.0011638,1.9162e-05
800,35.0,0.42,0.0011785,1.9403e-05
800,35.0,0.6,0.0011729,1.9312e-05
800,35.0,0.78,0.0011562,1.9037e-05
800,35.0,0.96,0.0011334,1.8662e-05
800,45.5,0.24,0.0011196,1.8434e-05
800,45.5,0.42,0.0011157,1.837e-05
800,45.5,0.6,0.0011057,1.8206e-05
800,45.5,0.78,0.001092,1.7979e-05
800,45.5,0.96,0.0010754,1.7707e-05
800,56.0,0.24,0.0010266,1.6903e-05
800,56.0,0.42,0.001041,1.714e-05
800,56.0,0.6,0.00104,1.7124e-05
800,56.0,0.78,0.0010326,1.7002e-05
800,56.0,0.96,0.0010217,1.6822e-05
900,13.2,0.232,0.0015069,2.4811e-05
900,13.2,0.406,0.0014792,2.4354e-05
900,13.2,0.58,0.0014174,2.3338e-05
900,13.2,0.754,0.0013524,2.2267e-05
900,13.2,0.928,0.0012911,2.1258e-05
900,23.1,0.232,0.0012693,2.0899e-05
900,23.1,0.406,0.0013048,2.1483e-05
900,23.1,0.58,0.0012963,2.1343e-05
900,23.1,0.754,0.0012706,2.092e-05
900,23.1,0.928,0.0012376,2.0378e-05
900,33.0,0.232,0.0012246,2.0162e-05
900,33.0,0.406,0.0012242,2.0156e-05
900,33.0,0.58,0.0012118,1.9952e-05
900,33.0,0.754,0.0011934,1.965e-05
900,33.0,0.928,0.0011714,1.9288e-05
900,42.9,0.232,0.0011188,1.842e-05
900,42.9,0.406,0.001135,1.8688e-05
900,42.9,0.58,0.001131,1.8622e-05
900,42.9,0.754,0.0011198,1.8437e-05
900,42.9,0.928,0.001105,1.8194e-05
900,52.8,0.232,0.0010184,1.6768e-05
900,52.8,0.406,0.0010458,1.722e-05
900,52.8,0.58,0.0010513,1.731e-05
900,52.8,0.754,0.0010478,1.7252e-05
900,52.8,0.928,0.0010397,1.7118e-05
1000,12.8,0.208,0.0014812,2.4388e-05
1000,12.8,0.364,0.001476,2.4303e-05
1000,12.8,0.52,0.0014331,2.3596e-05
1000,12.8,0.676,0.0013812,2.2742e-05
1000,12.8,0.832,0.0013289,2.188e-05
1000,22.4,0.208,0.0012722,2.0947e-05
1000,22.4,0.364,0.001305,2.1486e-05
